Datum;Sat;Temp;Potrosnja
26.1.2005;3;19;13473
26.1.2005;4;19;13462
26.1.2005;5;18;13799
26.1.2005;6;17;14933
26.1.2005;7;17;16948
26.1.2005;8;17;18179
26.1.2005;9;18;18713
26.1.2005;10;18;19156
26.1.2005;11;19;19430
26.1.2005;12;19;19572
26.1.2005;13;20;19495
26.1.2005;14;19;19399
26.1.2005;15;19;19179
26.1.2005;16;19;19133
26.1.2005;17;18;19780
26.1.2005;18;18;21120
26.1.2005;19;17;21177
26.1.2005;20;17;20636
26.1.2005;21;16;19729
26.1.2005;22;16;18474
26.1.2005;23;15;16838
26.1.2005;24;15;15517
27.1.2005;1;15;14667
27.1.2005;2;13;14275
27.1.2005;3;12;14135
27.1.2005;4;10;14175
27.1.2005;5;9;14552
27.1.2005;6;7;15787
27.1.2005;7;6;18031
27.1.2005;8;5;19231
27.1.2005;9;3;19493
27.1.2005;10;4;19529
27.1.2005;11;7;19495
27.1.2005;12;8;19338
27.1.2005;13;10;19069
27.1.2005;14;12;18911
27.1.2005;15;13;18700
27.1.2005;16;14;18742
27.1.2005;17;13;19447
27.1.2005;18;12;21123
27.1.2005;19;10;21520
27.1.2005;20;9;21210
27.1.2005;21;7;20580
27.1.2005;22;6;19485
27.1.2005;23;5;17875
27.1.2005;24;4;16475
28.1.2005;1;3;15584
28.1.2005;2;1;15193
28.1.2005;3;1;15064
28.1.2005;4;1;15089
28.1.2005;5;1;15409
28.1.2005;6;0;16560
28.1.2005;7;0;18833
28.1.2005;8;0;20074
28.1.2005;9;0;20238
28.1.2005;10;4;20174
28.1.2005;11;7;20012
28.1.2005;12;11;19699
28.1.2005;13;15;19262
28.1.2005;14;17;18930
28.1.2005;15;19;18543
28.1.2005;16;20;18396
28.1.2005;17;20;18911
28.1.2005;18;19;20312
28.1.2005;19;16;20555
28.1.2005;20;14;20083
28.1.2005;21;14;19518
28.1.2005;22;13;18670
28.1.2005;23;11;17392
28.1.2005;24;10;16136
29.1.2005;1;9;15228
29.1.2005;2;7;14776
29.1.2005;3;6;14531
29.1.2005;4;5;14476
29.1.2005;5;5;14578
29.1.2005;6;4;15014
29.1.2005;7;3;15876
29.1.2005;8;3;16785
29.1.2005;9;5;17780
29.1.2005;10;9;18192
29.1.2005;11;14;18102
29.1.2005;12;19;17685
29.1.2005;13;23;17119
29.1.2005;14;27;16566
29.1.2005;15;28;16232
29.1.2005;16;30;16193
29.1.2005;17;30;16822
29.1.2005;18;29;18412
29.1.2005;19;28;18535
29.1.2005;20;26;18046
29.1.2005;21;27;17460
29.1.2005;22;26;16684
29.1.2005;23;25;15595
29.1.2005;24;25;14495
30.1.2005;1;25;13610
30.1.2005;2;24;13058
30.1.2005;3;24;12797
30.1.2005;4;23;12685
30.1.2005;5;23;12703
30.1.2005;6;23;12937
30.1.2005;7;23;13508
30.1.2005;8;23;14164
30.1.2005;9;23;15121
30.1.2005;10;24;15728
30.1.2005;11;27;15909
30.1.2005;12;31;15908
30.1.2005;13;33;15704
30.1.2005;14;35;15387
30.1.2005;15;35;15158
30.1.2005;16;35;15247
30.1.2005;17;34;16095
30.1.2005;18;32;17979
30.1.2005;19;30;18404
30.1.2005;20;29;18085
30.1.2005;21;28;17462
30.1.2005;22;27;16417
30.1.2005;23;26;15061
30.1.2005;24;25;13894
31.1.2005;1;24;13140
31.1.2005;2;23;12841
31.1.2005;3;22;12751
31.1.2005;4;21;12836
31.1.2005;5;19;13242
31.1.2005;6;18;14487
31.1.2005;7;18;16920
31.1.2005;8;17;18223
31.1.2005;9;16;18400
31.1.2005;10;19;18373
31.1.2005;11;22;18313
31.1.2005;12;25;18137
31.1.2005;13;26;17789
31.1.2005;14;28;17588
31.1.2005;15;29;17328
31.1.2005;16;29;17312
31.1.2005;17;30;18035
31.1.2005;18;28;19784
31.1.2005;19;25;20224
31.1.2005;20;22;19854
31.1.2005;21;20;19143
31.1.2005;22;19;17896
31.1.2005;23;18;16292
31.1.2005;24;17;14932
1.2.2005;1;16;14061
1.2.2005;2;14;13693
1.2.2005;3;14;13587
1.2.2005;4;12;13667
1.2.2005;5;12;14050
1.2.2005;6;11;15311
1.2.2005;7;11;17717
1.2.2005;8;10;18968
1.2.2005;9;12;18994
1.2.2005;10;16;18732
1.2.2005;11;21;18477
1.2.2005;12;25;18130
1.2.2005;13;29;17701
1.2.2005;14;32;17402
1.2.2005;15;33;17106
1.2.2005;16;34;17085
1.2.2005;17;34;17715
1.2.2005;18;33;19430
1.2.2005;19;28;19887
1.2.2005;20;26;19563
1.2.2005;21;25;18888
1.2.2005;22;23;17746
1.2.2005;23;22;16095
1.2.2005;24;20;14696
2.2.2005;1;19;13886
2.2.2005;2;18;13533
2.2.2005;3;17;13423
2.2.2005;4;17;13476
2.2.2005;5;16;13868
2.2.2005;6;14;15116
2.2.2005;7;15;17500
2.2.2005;8;15;18746
2.2.2005;9;16;18758
2.2.2005;10;21;18518
2.2.2005;11;26;18290
2.2.2005;12;29;17943
2.2.2005;13;32;17589
2.2.2005;14;33;17314
2.2.2005;15;35;17054
2.2.2005;16;35;17010
2.2.2005;17;36;17593
2.2.2005;18;34;19294
2.2.2005;19;30;19771
2.2.2005;20;28;19430
2.2.2005;21;26;18764
2.2.2005;22;24;17608
2.2.2005;23;26;15958
2.2.2005;24;23;14462
3.2.2005;1;22;13631
3.2.2005;2;22;13226
3.2.2005;3;22;13079
3.2.2005;4;21;13126
3.2.2005;5;20;13493
3.2.2005;6;20;14698
3.2.2005;7;19;16991
3.2.2005;8;19;18230
3.2.2005;9;21;18328
3.2.2005;10;24;18219
3.2.2005;11;27;18103
3.2.2005;12;32;17872
3.2.2005;13;34;17569
3.2.2005;14;35;17412
3.2.2005;15;36;17264
3.2.2005;16;36;17340
3.2.2005;17;36;18040
3.2.2005;18;36;19388
3.2.2005;19;35;19538
3.2.2005;20;34;18992
3.2.2005;21;33;18142
3.2.2005;22;33;16957
3.2.2005;23;33;15373
3.2.2005;24;33;13996
4.2.2005;1;32;13049
4.2.2005;2;32;12587
4.2.2005;3;32;12371
4.2.2005;4;32;12324
4.2.2005;5;32;12628
4.2.2005;6;32;13731
4.2.2005;7;32;15794
4.2.2005;8;32;17031
4.2.2005;9;32;17517
4.2.2005;10;33;17603
4.2.2005;11;33;17708
4.2.2005;12;34;17718
4.2.2005;13;35;17499
4.2.2005;14;36;17261
4.2.2005;15;37;16925
4.2.2005;16;38;16748
4.2.2005;17;39;17028
4.2.2005;18;39;18118
4.2.2005;19;36;18334
4.2.2005;20;34;17859
4.2.2005;21;34;17330
4.2.2005;22;34;16486
4.2.2005;23;33;15154
4.2.2005;24;33;13910
5.2.2005;1;32;12973
5.2.2005;2;31;12427
5.2.2005;3;30;12153
5.2.2005;4;31;12060
5.2.2005;5;31;12171
5.2.2005;6;30;12630
5.2.2005;7;31;13487
5.2.2005;8;32;14296
5.2.2005;9;33;15196
5.2.2005;10;37;15724
5.2.2005;11;41;15773
