Praznik;Mjesec;Temperatura;PotrosnjaPrije1h;PotrosnjaPrije2h;Potrosnja
0;2;4.5;333.0;375.25;282.5
0;2;3.8;364.5;372.0;317.25
0;2;3.6;303.5;337.75;271.25
1;2;5.4;168.25;161.75;171.5
1;2;3.3;202.75;194.25;209.5
0;2;-1.4;334.5;359.75;303.5
0;2;-1.1;330.25;374.75;275.5
0;2;-2.4;323.0;336.0;257.75
0;2;-2.9;342.75;338.25;295.0
0;2;-0.5;285.5;310.5;248.0
1;2;-2.6;199.25;189.25;194.25
1;2;-1.1;218.75;206.25;213.25
0;2;0.0;324.75;357.5;283.5
0;3;0.9;329.0;379.25;282.75
0;3;-1.4;318.5;373.25;270.25
0;3;0.4;324.0;363.25;277.0
0;3;-1.1;298.5;325.0;247.0
1;3;1.8;201.428571429;196.834558824;203.642335766
1;3;4.6;186.175182482;180.767241379;182.795620438
0;3;-1.0;333.666666667;341.208029197;300.379562044
0;3;-1.4;315.847058824;331.832684825;266.708
0;3;1.3;336.25;338.345098039;276.04296875
0;3;5.4;336.76171875;337.01953125;302.57421875
0;3;11.8;307.01953125;321.241245136;275.25
1;3;13.7;211.643137255;200.97254902;208.1640625
1;3;12.8;215.575875486;210.207843137;209.822834646
0;3;15.0;329.25;339.471698113;287.25
0;3;15.8;348.75;374.0;301.0
0;3;11.1;341.5;372.25;291.75
0;3;13.5;334.75;339.25;301.75
0;3;8.1;320.0;364.0;276.25
1;3;5.9;201.0;196.5;208.5
1;3;7.0;198.5;189.0;206.0
0;3;3.8;287.5;307.5;261.5
0;3;5.9;331.25;322.0;276.5
0;3;12.5;274.25;294.75;254.5
0;3;11.4;315.25;333.75;280.0
0;3;16.2;307.25;312.75;273.75
1;3;14.9;205.5;199.5;207.0
1;3;13.2;193.75;194.25;205.25
0;3;9.8;NaN;NaN;NaN
0;3;8.8;252.25;297.25;245.0
0;3;9.3;260.25;282.0;249.25
0;3;11.7;264.75;279.75;243.0
0;4;14.3;NaN;NaN;NaN
1;4;14.0;NaN;NaN;NaN
1;4;14.6;NaN;NaN;NaN
0;4;12.9;NaN;NaN;NaN
0;4;9.7;NaN;NaN;NaN
0;4;12.1;NaN;NaN;NaN
0;4;21.6;NaN;NaN;NaN
0;4;14.5;NaN;NaN;NaN
1;4;14.2;NaN;NaN;NaN
1;4;11.9;NaN;NaN;NaN
0;4;13.0;NaN;NaN;NaN
0;4;8.9;NaN;NaN;NaN
0;4;6.7;NaN;NaN;NaN
0;4;9.9;NaN;NaN;NaN
0;4;9.6;NaN;NaN;NaN
1;4;10.4;167.25;163.75;174.25
1;4;8.8;156.0;151.5;158.75
0;4;9.6;238.0;252.25;215.75
0;4;10.7;268.0;301.5;214.75
0;4;13.6;245.25;291.0;227.5
0;4;14.8;261.75;280.25;235.75
0;4;15.0;173.5;184.0;164.5
1;4;19.9;152.5;151.25;150.75
1;4;18.0;151.0;152.75;151.25
1;4;15.9;160.75;159.5;161.75
0;4;14.2;291.0;312.25;248.5
0;4;15.5;287.5;320.0;254.75
0;4;13.6;290.75;324.5;260.5
0;4;12.7;243.25;287.5;203.5
1;4;15.9;185.25;175.5;175.25
1;5;12.9;161.5;157.25;166.25
0;5;13.8;215.25;249.5;201.25
0;5;11.0;264.25;274.75;222.75
0;5;9.7;225.75;264.5;190.5
0;5;10.4;231.626373626;284.802197802;198.156934307
0;5;12.4;236.357142857;264.07755102;209.738589212
1;5;15.6;161.407407407;162.049180328;163.433884298
1;5;9.5;167.234042553;167.209756098;161.327659574
0;5;14.7;220.75;254.0;198.5
0;5;16.3;218.5;277.5;200.75
0;5;17.4;229.0;255.0;209.25
0;5;19.0;233.0;250.75;206.5
0;5;19.4;NaN;NaN;NaN
1;5;22.5;219.75;227.75;205.0
1;5;10.6;213.796460177;205.523148148;207.502242152
0;5;13.8;266.180094787;296.175609756;229.693023256
0;5;16.5;288.942731278;310.888412017;245.654867257
0;5;18.3;264.042372881;289.966942149;237.445945946
0;5;19.4;278.479820628;289.619834711;243.601851852
0;5;21.1;216.103004292;268.533039648;186.670995671
1;5;18.0;179.942307692;187.259803922;179.823529412
1;5;17.7;173.389423077;168.623318386;171.0
0;5;19.9;280.230088496;331.171171171;262.793577982
0;5;21.2;291.057268722;331.547826087;233.034632035
0;5;20.8;270.75;320.0;239.5
0;5;20.5;259.308370044;320.612068966;216.688596491
0;5;25.3;293.276595745;389.225531915;208.215859031
1;5;14.7;168.755458515;167.145833333;168.439130435
1;5;16.8;162.886075949;165.948717949;161.483050847
0;5;20.3;267.725321888;315.49137931;228.415584416
0;5;22.2;301.939914163;380.787234043;231.356223176
