Praznik;Mjesec;Temperatura;Tlak;PrijasnjaPotrosnja;Potrosnja
0;2;-1.1;1012.0;353.75;394.25
1;2;-0.5;1012.3;180.75;201.25
1;2;-1.7;1003.1;170.75;170.75
0;2;-1.2;1009.2;384.5;448.25
0;3;0.2;1015.4;372.0;446.5
0;3;-0.1;1015.2;385.0;447.25
0;3;-1.1;1016.7;373.75;448.0
0;3;1.8;1017.7;352.5;417.75
1;3;0.9;1009.5;183.864468864;187.583941606
1;3;2.3;1006.3;171.306569343;172.396363636
0;3;3.1;1017.3;350.131086142;400.791970803
0;3;2.4;1021.3;360.629482072;422.022813688
0;3;2.6;1010.8;361.856031128;405.642023346
0;3;5.0;1006.2;353.6796875;396.747081712
0;3;11.8;1005.6;340.15234375;400.65234375
1;3;10.4;1006.4;185.431906615;186.75
1;3;13.0;1002.5;182.19921875;182.661478599
0;3;17.0;1003.7;392.840466926;400.515625
0;3;16.3;1004.6;326.5;391.75
0;3;10.8;999.2;354.25;449.25
0;3;11.5;987.8;350.5;427.0
0;3;11.9;998.2;358.25;425.5
1;3;6.1;1006.9;180.25;176.5
1;3;6.1;1013.3;177.75;185.25
0;3;5.6;1017.5;352.5;416.75
0;3;8.6;1020.9;345.0;393.25
0;3;13.6;1018.8;332.75;378.75
0;3;14.1;1018.5;312.0;390.25
0;3;15.5;1006.9;309.0;366.5
1;3;15.4;998.4;211.25;230.0
1;3;12.3;1002.2;183.0;185.5
0;3;10.9;998.2;NaN;NaN
0;3;13.2;1002.2;NaN;NaN
0;3;13.2;1003.6;328.75;382.25
0;3;15.2;1007.1;342.5;395.75
0;4;14.9;1009.1;NaN;NaN
1;4;18.4;1007.5;NaN;NaN
1;4;16.6;1001.0;NaN;NaN
0;4;17.8;998.7;NaN;NaN
0;4;12.7;1009.6;NaN;NaN
0;4;15.6;1012.6;NaN;NaN
0;4;19.4;1008.6;NaN;NaN
0;4;16.5;1002.9;NaN;NaN
1;4;19.8;998.9;NaN;NaN
1;4;13.8;1005.6;NaN;NaN
0;4;16.8;1006.9;NaN;NaN
0;4;21.5;997.4;NaN;NaN
0;4;11.7;1000.6;NaN;NaN
0;4;13.1;998.7;NaN;NaN
0;4;12.1;1001.3;NaN;NaN
1;4;9.8;1005.9;NaN;NaN
1;4;13.8;1008.6;154.0;156.0
0;4;15.4;1008.1;324.75;390.5
0;4;17.5;1003.6;329.25;374.75
0;4;17.2;1004.3;339.75;389.5
0;4;17.9;1003.5;319.5;365.0
0;4;19.4;1000.4;281.25;340.25
1;4;20.4;999.6;153.25;155.25
1;4;20.3;999.7;137.75;140.25
1;4;17.8;1001.6;146.0;148.75
0;4;12.9;999.6;346.5;410.25
0;4;16.3;998.9;310.0;374.75
0;4;14.9;998.2;323.75;425.25
0;4;13.5;996.8;333.0;390.75
1;4;14.1;994.2;160.5;176.5
1;5;15.1;989.5;145.0;145.25
0;5;16.7;995.1;288.5;361.5
0;5;20.5;987.6;318.0;379.25
0;5;10.5;1002.3;NaN;379.0
0;5;14.7;1008.9;289.981818182;329.769633508
0;5;14.6;1013.0;301.408759124;349.080586081
1;5;17.6;1007.0;158.531120332;165.864197531
1;5;19.7;1002.2;146.315352697;150.468619247
0;5;16.6;1010.5;294.25;355.75
0;5;21.2;1011.9;279.0;336.75
0;5;23.2;1005.7;324.5;387.5
0;5;23.2;1001.4;292.0;348.75
0;5;21.0;1004.9;NaN;NaN
1;5;22.2;1002.0;NaN;228.0
1;5;14.9;998.8;186.276422764;196.863453815
0;5;15.4;1005.1;354.928286853;378.895652174
0;5;17.2;1007.5;332.877729258;378.81981982
0;5;17.7;1006.6;333.521367521;399.546255507
0;5;22.2;1004.8;341.756521739;386.143478261
0;5;23.7;1004.3;314.959459459;383.214953271
1;5;25.3;1004.8;134.071748879;184.208888889
1;5;21.4;1004.5;146.970588235;150.583333333
0;5;23.8;1007.1;328.296460177;377.138528139
0;5;24.0;1006.6;372.727678571;440.674107143
0;5;24.3;1007.9;349.827272727;403.392307692
0;5;20.6;1006.0;339.692982456;391.995670996
0;5;24.9;998.0;348.612765957;471.256410256
1;5;12.2;1000.4;170.724576271;234.572052402
1;5;19.2;1004.6;145.811965812;195.862222222
0;5;22.5;1006.0;387.084745763;422.472340426
0;5;23.8;1000.4;351.987068966;382.594827586
