Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;4;0.26;1002.4;371.0;332.5
0;4;0.21;999.8;358.0;312.5
0;4;0.23;997.2;278.5;232.0
1;4;0.28;997.5;154.0;151.5
1;4;0.26;998.2;145.5;147.75
1;4;0.44;998.1;157.0;157.75
0;4;0.8;998.4;394.0;356.5
0;4;0.45;996.8;408.5;367.25
0;4;0.62;996.8;417.5;373.5
0;4;0.83;994.7;379.5;339.25
1;4;0.47;990.4;175.0;176.25
1;5;0.77;989.5;163.25;156.25
0;5;0.45;991.9;330.25;292.75
0;5;0.65;988.9;378.0;317.5
0;5;0.34;1001.1;367.5;317.75
0;5;0.3;1009.0;386.911111111;325.919413919
0;5;0.3;1010.3;352.313953488;302.072033898
1;5;0.21;1004.4;170.655737705;166.134693878
1;5;0.71;1007.4;181.518672199;174.917073171
0;5;0.34;1009.5;324.5;288.0
0;5;0.25;1008.8;377.75;332.5
0;5;0.27;1002.7;347.75;317.25
0;5;0.24;997.8;359.75;311.5
0;5;0.39;1003.7;NaN;NaN
1;5;0.43;997.3;237.0;222.75
1;5;0.8;1001.0;214.696682464;201.519047619
0;5;0.41;1004.9;384.388127854;333.786069652
0;5;0.47;1004.9;394.145299145;346.618025751
0;5;0.41;1004.1;394.723577236;329.983471074
0;5;0.36;1001.6;397.755102041;346.004065041
0;5;0.38;1001.8;379.03125;322.785714286
1;5;0.89;1003.2;211.469194313;192.620853081
1;5;0.42;1001.5;169.952173913;164.799107143
0;5;0.49;1005.8;476.127272727;369.395348837
0;5;0.3;1003.2;457.556053812;379.592105263
0;5;0.38;1006.0;430.0;372.25
0;5;0.27;1000.8;435.008849558;370.398230088
0;5;0.3;993.4;526.431623932;438.309734513
1;5;0.68;1000.5;206.692307692;172.399122807
1;5;0.34;1003.6;192.88362069;175.132478632
0;5;0.35;1002.7;456.848101266;365.622881356
0;5;0.36;996.7;526.0969163;453.812765957
