Praznik;Mjesec;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;3;0.85;1018.0;198.5;201.75
0;3;0.76;1010.9;210.25;199.75
1;3;0.45;999.2;192.75;190.75
1;3;0.64;1000.8;190.25;192.75
0;3;0.87;998.1;187.5;NaN
0;3;0.96;999.8;NaN;NaN
0;3;0.89;1002.1;198.75;191.25
0;3;0.82;1003.9;203.25;206.0
0;4;0.77;1007.2;208.0;NaN
1;4;0.91;1008.1;NaN;NaN
1;4;0.79;1002.6;NaN;NaN
0;4;0.7;999.3;NaN;NaN
0;4;0.86;1006.9;NaN;NaN
0;4;0.87;1011.5;NaN;NaN
0;4;0.85;1009.9;NaN;NaN
0;4;0.46;998.5;NaN;NaN
1;4;0.75;996.2;NaN;NaN
1;4;0.69;1004.9;NaN;NaN
0;4;0.82;1005.0;NaN;NaN
0;4;0.81;1000.7;NaN;NaN
0;4;0.85;1002.7;NaN;NaN
0;4;0.64;999.5;NaN;NaN
0;4;0.62;1000.2;NaN;NaN
1;4;0.83;1003.9;NaN;NaN
1;4;0.59;1006.8;157.75;151.0
0;4;0.74;1007.8;148.5;146.25
0;4;0.66;1003.9;164.25;158.75
0;4;0.79;1002.1;171.0;168.0
0;4;0.84;1003.7;170.25;162.75
0;4;0.81;1000.3;170.0;160.25
1;4;0.81;998.6;152.5;151.75
1;4;0.67;999.0;144.25;143.25
1;4;0.84;1000.9;150.0;148.75
0;4;0.77;999.1;157.75;153.0
0;4;0.68;998.6;156.75;158.5
0;4;0.67;997.4;163.75;155.5
0;4;0.85;996.3;173.5;169.25
1;4;0.93;995.0;159.75;161.25
1;5;0.89;990.8;193.5;188.0
0;5;0.78;993.4;161.0;159.75
0;5;0.83;990.0;160.25;153.25
0;5;0.62;999.6;172.75;174.25
0;5;0.81;1006.0;164.75;165.25
0;5;0.68;1012.2;168.547794118;161.270072993
1;5;0.77;1009.8;165.319148936;164.452674897
1;5;0.74;1005.1;161.214285714;160.172131148
0;5;0.85;1011.6;160.642857143;160.25
0;5;0.78;1011.1;162.75;154.0
0;5;0.8;1007.6;169.5;166.75
0;5;0.78;1003.2;179.75;174.5
0;5;0.56;999.4;178.5;NaN
1;5;0.82;1003.7;NaN;NaN
1;5;0.8;996.4;206.0;196.8
0;5;0.81;1002.9;191.850202429;186.187755102
0;5;0.61;1006.8;175.06;164.068181818
0;5;0.75;1005.9;168.566371681;157.226086957
0;5;0.82;1004.5;165.532520325;155.0
0;5;0.82;1003.1;170.515418502;164.175438596
1;5;0.87;1003.2;164.962962963;159.963800905
1;5;0.86;1004.0;153.483870968;153.584745763
0;5;0.87;1004.0;160.933014354;154.251184834
0;5;0.88;1006.5;175.762790698;167.793859649
0;5;0.82;1004.8;180.052863436;171.017699115
0;5;0.59;1007.1;172.0;166.5
0;5;0.77;999.7;181.857777778;176.770562771
1;5;0.89;997.3;174.153508772;169.575757576
1;5;0.88;1002.1;156.004347826;155.551724138
0;5;0.82;1005.2;155.92173913;154.628820961
0;5;0.8;1001.8;183.83982684;174.811158798
