Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;4;15.8;0.5;998.6;NaN;NaN
0;4;11.1;0.75;1009.3;NaN;NaN
0;4;14.8;0.51;1012.5;NaN;NaN
0;4;16.6;0.59;1009.3;NaN;NaN
0;4;16.5;0.63;1002.4;NaN;NaN
1;4;17.0;0.55;998.7;NaN;NaN
1;4;13.6;0.33;1005.9;NaN;NaN
0;4;14.9;0.39;1006.8;NaN;NaN
0;4;19.2;0.37;997.7;NaN;NaN
0;4;10.7;0.55;1000.8;NaN;NaN
0;4;10.1;0.49;998.7;NaN;NaN
0;4;11.2;0.54;1001.2;NaN;NaN
1;4;10.5;0.62;1005.3;NaN;NaN
1;4;12.7;0.47;1008.5;154.25;154.0
0;4;14.3;0.43;1008.1;239.5;324.75
0;4;15.3;0.46;1003.6;254.5;329.25
0;4;14.7;0.48;1004.1;243.75;339.75
0;4;15.1;0.55;1003.8;244.5;319.5
0;4;17.9;0.39;1000.5;241.0;281.25
1;4;18.1;0.49;999.7;151.0;153.25
1;4;19.4;0.28;999.6;136.25;137.75
1;4;14.6;0.8;1001.7;143.5;146.0
0;4;12.4;0.84;999.5;238.25;346.5
0;4;15.0;0.63;998.9;235.5;310.0
0;4;13.0;0.88;998.1;236.5;323.75
0;4;12.9;0.82;996.7;259.75;333.0
1;4;13.8;0.9;994.5;158.0;160.5
1;5;14.4;0.81;989.6;145.0;145.0
0;5;15.2;0.63;994.9;214.0;288.5
0;5;18.9;0.6;987.8;231.0;318.0
0;5;9.9;0.49;1002.3;NaN;NaN
0;5;13.8;0.33;1008.8;220.25;289.981818182
0;5;13.2;0.33;1013.2;236.149635036;301.408759124
1;5;15.0;0.59;1007.3;159.404958678;158.531120332
1;5;18.9;0.27;1002.9;144.545081967;146.315352697
0;5;15.4;0.48;1010.7;225.5;294.25
0;5;19.4;0.45;1011.9;227.5;279.0
0;5;20.4;0.43;1006.0;244.0;324.5
0;5;20.8;0.47;1001.6;229.25;292.0
0;5;19.6;0.68;1004.5;NaN;NaN
1;5;19.9;0.54;1002.7;NaN;NaN
1;5;15.4;0.83;997.6;178.650684932;186.276422764
0;5;15.2;0.44;1005.0;293.518218623;354.928286853
0;5;16.5;0.55;1007.7;244.62;332.877729258
0;5;16.7;0.65;1006.6;247.273542601;333.521367521
0;5;20.3;0.62;1004.9;251.067460317;341.756521739
0;5;22.8;0.52;1004.3;221.004385965;314.959459459
1;5;23.0;0.59;1004.8;166.056074766;134.071748879
1;5;19.4;0.73;1004.5;143.81938326;146.970588235
0;5;21.1;0.73;1007.0;246.187793427;328.296460177
0;5;22.6;0.66;1006.9;263.487068966;372.727678571
0;5;23.8;0.42;1007.8;256.947136564;349.827272727
0;5;20.2;0.42;1006.6;251.907079646;339.692982456
0;5;23.0;0.54;998.5;257.086956522;348.612765957
1;5;12.4;0.83;1000.6;161.088495575;170.724576271
1;5;18.4;0.57;1004.6;145.35021097;145.811965812
0;5;21.4;0.45;1006.2;262.611814346;387.084745763
0;5;23.0;0.5;1000.6;250.122881356;351.987068966
