Praznik;Mjesec;Temperatura;Vlaga;Tlak;PrijasnjaPotrosnja;Potrosnja
0;3;17.8;0.24;1003.6;427.774319066;417.098039216
1;3;18.0;0.24;1002.8;198.45703125;197.7
1;3;15.0;0.4;1001.1;192.220472441;191.498007968
0;3;17.6;0.51;1003.8;455.521568627;443.785992218
0;3;19.0;0.4;1002.0;422.25;424.5
0;3;10.2;0.9;995.5;464.5;474.0
0;3;15.4;0.5;990.0;457.5;458.0
0;3;12.5;0.56;999.4;466.0;459.25
1;3;7.9;0.59;1006.9;198.25;212.0
1;3;10.4;0.42;1012.1;187.25;186.0
0;3;8.2;0.44;1017.6;424.5;412.25
0;3;13.4;0.31;1018.3;398.0;390.75
0;3;16.8;0.36;1016.3;408.25;417.75
0;3;19.5;0.27;1014.5;426.5;426.0
0;3;23.1;0.18;1000.4;419.25;397.0
1;3;19.9;0.32;995.4;202.5;209.5
1;3;15.8;0.53;999.3;194.75;204.0
0;3;11.8;0.9;997.9;NaN;NaN
0;3;14.9;0.52;1001.0;391.0;401.75
0;3;17.3;0.3;1001.3;383.5;376.5
0;3;19.2;0.29;1005.6;497.0;436.0
0;4;19.7;0.33;1006.3;NaN;NaN
1;4;21.3;0.37;1003.9;NaN;NaN
1;4;21.8;0.33;998.1;NaN;NaN
0;4;23.0;0.38;996.2;NaN;NaN
0;4;16.1;0.4;1008.7;NaN;NaN
0;4;18.2;0.39;1010.9;NaN;NaN
0;4;26.4;0.32;1003.0;NaN;NaN
0;4;19.9;0.44;1000.0;NaN;NaN
1;4;22.2;0.3;997.1;NaN;NaN
1;4;18.4;0.27;1001.5;NaN;NaN
0;4;18.4;0.37;1003.9;NaN;NaN
0;4;24.2;0.24;993.0;NaN;NaN
0;4;14.1;0.24;997.7;NaN;NaN
0;4;14.2;0.28;996.7;NaN;NaN
0;4;13.0;0.41;1000.6;NaN;NaN
1;4;14.0;0.41;1004.8;NaN;170.333333333
1;4;14.4;0.33;1006.7;157.25;158.25
0;4;16.9;0.31;1005.1;411.75;413.0
0;4;18.4;0.31;1001.1;428.75;422.75
0;4;21.0;0.29;1002.8;388.5;398.0
0;4;23.6;0.23;1000.7;413.0;393.75
0;4;23.0;0.27;998.0;322.75;303.5
1;4;23.7;0.28;997.8;163.5;156.5
1;4;23.6;0.27;998.3;145.0;144.75
1;4;21.7;0.47;998.8;162.25;160.75
0;4;14.7;0.69;998.7;428.0;420.75
0;4;16.4;0.47;997.0;418.5;409.5
0;4;15.9;0.58;997.1;454.25;435.0
0;4;16.2;0.71;994.9;440.75;414.0
1;4;18.8;0.55;991.1;167.0;166.25
1;5;18.9;0.5;988.6;160.75;162.25
0;5;19.6;0.46;992.8;396.5;364.5
0;5;23.7;0.36;986.4;363.25;373.5
0;5;13.5;0.34;1001.0;383.25;380.25
0;5;15.8;0.3;1009.0;401.907063197;388.558052434
0;5;17.8;0.33;1010.9;360.435897436;353.820224719
1;5;22.8;0.26;1005.1;178.391836735;169.679012346
1;5;12.9;0.7;1004.7;177.280487805;178.18487395
0;5;18.7;0.33;1009.2;412.25;365.75
0;5;23.3;0.28;1009.7;371.75;356.5
0;5;25.0;0.33;1003.4;380.25;367.75
0;5;26.5;0.26;998.8;405.0;372.5
0;5;22.9;0.42;1004.0;NaN;NaN
1;5;25.6;0.41;998.9;230.5;237.75
1;5;12.0;0.84;999.8;210.466346154;214.121495327
0;5;17.3;0.47;1004.4;404.049107143;410.918918919
0;5;19.4;0.47;1005.2;403.245614035;394.703056769
0;5;22.5;0.45;1005.0;421.939271255;421.61752988
0;5;25.3;0.41;1002.5;425.78;418.497959184
0;5;26.5;0.36;1002.3;430.9004329;417.675438596
1;5;26.6;0.42;1002.4;193.943925234;210.967889908
1;5;26.0;0.41;1002.0;163.935064935;165.375565611
0;5;27.3;0.38;1005.4;485.692307692;499.836283186
0;5;26.8;0.42;1004.0;471.905063291;465.41875
0;5;25.3;0.37;1006.5;459.25;453.0
0;5;25.7;0.28;1002.4;471.230088496;476.809734513
0;5;29.8;0.35;994.5;535.563559322;537.458515284
1;5;15.6;0.73;1000.3;208.360515021;225.815450644
1;5;22.6;0.37;1003.6;199.1;187.429752066
0;5;24.3;0.38;1003.9;488.99137931;482.327659574
0;5;26.6;0.45;997.5;522.43776824;537.876068376
