Sat;Dan;Mjesec;Godina;Potrosnja;Temperatura
21;14;1;2011;202.75;3.8
22;14;1;2011;187.5;3.7
23;14;1;2011;180.5;2.9
0;15;1;2011;185.5;2.6
1;15;1;2011;182.25;2.0
2;15;1;2011;180.5;1.7
3;15;1;2011;179.0;1.4
4;15;1;2011;177.5;1.0
5;15;1;2011;176.5;1.0
6;15;1;2011;179.5;2.6
7;15;1;2011;178.0;3.4
8;15;1;2011;193.25;4.0
9;15;1;2011;191.25;5.2
10;15;1;2011;200.5;6.0
11;15;1;2011;209.75;6.4
12;15;1;2011;198.75;10.1
13;15;1;2011;191.5;11.4
14;15;1;2011;173.25;12.5
15;15;1;2011;166.0;11.8
16;15;1;2011;174.0;8.3
17;15;1;2011;189.0;6.2
18;15;1;2011;187.25;5.1
19;15;1;2011;182.5;4.0
20;15;1;2011;178.0;3.3
21;15;1;2011;171.5;3.1
22;15;1;2011;165.0;2.9
23;15;1;2011;162.25;3.3
0;16;1;2011;160.0;3.0
1;16;1;2011;160.5;1.8
2;16;1;2011;160.75;2.2
3;16;1;2011;159.5;2.1
4;16;1;2011;157.5;1.2
5;16;1;2011;157.0;1.9
6;16;1;2011;158.25;2.7
7;16;1;2011;154.5;1.5
8;16;1;2011;150.25;2.3
9;16;1;2011;152.25;3.0
10;16;1;2011;154.75;3.7
11;16;1;2011;158.0;5.0
12;16;1;2011;162.5;7.6
13;16;1;2011;163.0;9.1
14;16;1;2011;161.5;9.9
15;16;1;2011;162.5;8.9
16;16;1;2011;164.0;7.3
17;16;1;2011;175.75;5.0
18;16;1;2011;180.75;3.9
19;16;1;2011;179.75;2.9
20;16;1;2011;176.0;2.8
21;16;1;2011;168.75;2.0
22;16;1;2011;163.0;1.9
23;16;1;2011;160.5;0.9
0;17;1;2011;159.5;0.7
1;17;1;2011;158.75;0.6
2;17;1;2011;155.75;0.0
3;17;1;2011;155.0;-0.2
4;17;1;2011;153.75;-0.8
5;17;1;2011;157.75;-1.3
6;17;1;2011;228.25;-1.6
7;17;1;2011;291.5;-1.2
8;17;1;2011;367.75;-0.3
9;17;1;2011;426.25;0.6
10;17;1;2011;462.25;1.6
11;17;1;2011;463.25;3.6
12;17;1;2011;457.0;6.4
13;17;1;2011;454.75;9.4
14;17;1;2011;450.0;10.5
15;17;1;2011;431.25;10.2
16;17;1;2011;388.0;7.1
17;17;1;2011;357.5;4.5
18;17;1;2011;320.75;4.3
19;17;1;2011;256.5;3.4
20;17;1;2011;229.25;3.3
21;17;1;2011;210.0;3.2
22;17;1;2011;192.5;3.1
23;17;1;2011;182.5;2.1
0;18;1;2011;180.25;1.1
1;18;1;2011;177.25;0.6
2;18;1;2011;178.0;0.1
3;18;1;2011;174.0;0.0
4;18;1;2011;171.25;-0.8
5;18;1;2011;178.75;-0.3
6;18;1;2011;244.5;-1.1
7;18;1;2011;286.5;-0.6
8;18;1;2011;351.0;0.1
9;18;1;2011;422.0;1.3
10;18;1;2011;445.25;0.6
11;18;1;2011;445.75;1.5
12;18;1;2011;427.5;2.7
13;18;1;2011;421.0;4.8
14;18;1;2011;399.0;4.8
15;18;1;2011;386.75;3.5
16;18;1;2011;362.75;2.5
17;18;1;2011;334.25;1.6
18;18;1;2011;311.25;1.4
19;18;1;2011;257.0;0.4
20;18;1;2011;232.25;-0.6
21;18;1;2011;210.5;-0.8
22;18;1;2011;191.25;-0.8
23;18;1;2011;180.25;-0.8
0;19;1;2011;178.75;-0.8
1;19;1;2011;174.75;-0.8
2;19;1;2011;173.0;-1.3
3;19;1;2011;171.75;-2.0
4;19;1;2011;168.5;-1.2
5;19;1;2011;171.5;-1.4
6;19;1;2011;237.0;-2.2
7;19;1;2011;275.0;-2.2
8;19;1;2011;354.0;-2.0
9;19;1;2011;423.0;-0.4
10;19;1;2011;443.0;0.6
11;19;1;2011;452.75;2.0
12;19;1;2011;464.25;2.1
13;19;1;2011;445.25;2.2
14;19;1;2011;450.0;2.3
15;19;1;2011;464.25;3.0
16;19;1;2011;422.0;3.0
17;19;1;2011;368.0;3.1
18;19;1;2011;341.25;3.1
19;19;1;2011;283.75;3.2
20;19;1;2011;230.5;3.5
21;19;1;2011;202.5;3.2
22;19;1;2011;193.75;3.0
23;19;1;2011;188.25;3.1
0;20;1;2011;183.0;3.1
1;20;1;2011;174.25;3.1
2;20;1;2011;172.0;3.0
3;20;1;2011;170.5;2.2
4;20;1;2011;170.75;2.5
5;20;1;2011;179.5;3.1
6;20;1;2011;249.5;3.1
7;20;1;2011;280.0;3.1
8;20;1;2011;367.25;3.5
9;20;1;2011;426.25;4.0
10;20;1;2011;436.0;4.3
11;20;1;2011;448.25;4.6
12;20;1;2011;473.0;4.5
13;20;1;2011;448.25;4.1
14;20;1;2011;450.0;3.9
15;20;1;2011;471.25;3.8
16;20;1;2011;425.5;3.7
17;20;1;2011;390.0;3.7
18;20;1;2011;325.75;3.7
19;20;1;2011;264.25;3.5
20;20;1;2011;235.25;3.1
21;20;1;2011;207.5;2.8
22;20;1;2011;184.5;2.8
23;20;1;2011;177.0;2.6
0;21;1;2011;175.5;2.5
1;21;1;2011;173.0;2.1
2;21;1;2011;169.5;1.8
3;21;1;2011;171.5;1.6
4;21;1;2011;169.25;1.5
5;21;1;2011;179.75;1.3
6;21;1;2011;243.0;1.3
7;21;1;2011;285.5;1.3
8;21;1;2011;385.0;1.3
9;21;1;2011;462.25;1.4
10;21;1;2011;474.25;1.3
11;21;1;2011;500.75;2.4
12;21;1;2011;490.25;2.7
13;21;1;2011;477.25;2.8
14;21;1;2011;461.0;2.8
15;21;1;2011;449.5;2.5
16;21;1;2011;412.75;2.2
17;21;1;2011;340.5;1.7
18;21;1;2011;288.0;1.6
19;21;1;2011;242.25;1.3
20;21;1;2011;212.75;1.2
21;21;1;2011;192.25;0.8
22;21;1;2011;176.5;0.7
23;21;1;2011;175.5;0.7
0;22;1;2011;175.0;0.6
1;22;1;2011;172.75;0.5
2;22;1;2011;171.0;-0.1
3;22;1;2011;168.5;-0.3
4;22;1;2011;168.25;-0.3
5;22;1;2011;166.0;-0.3
6;22;1;2011;181.25;-0.3
7;22;1;2011;178.25;-0.4
8;22;1;2011;187.0;-0.2
9;22;1;2011;200.0;-0.2
10;22;1;2011;199.5;-0.1
11;22;1;2011;204.5;0.3
12;22;1;2011;213.0;0.8
13;22;1;2011;208.0;0.9
14;22;1;2011;203.5;0.8
15;22;1;2011;205.5;0.6
16;22;1;2011;205.5;0.1
17;22;1;2011;206.0;-0.3
18;22;1;2011;205.25;-0.5
19;22;1;2011;196.75;-0.6
20;22;1;2011;192.5;-0.8
21;22;1;2011;184.75;-0.7
22;22;1;2011;181.75;-0.7
23;22;1;2011;174.75;-0.7
0;23;1;2011;175.25;-1.1
1;23;1;2011;177.5;-1.6
2;23;1;2011;176.25;-1.7
3;23;1;2011;175.75;-2.3
4;23;1;2011;171.75;-2.5
5;23;1;2011;168.0;-2.7
6;23;1;2011;177.0;-3.2
7;23;1;2011;171.25;-3.5
8;23;1;2011;170.75;-2.7
9;23;1;2011;169.0;-1.6
10;23;1;2011;170.75;-0.6
11;23;1;2011;172.0;0.3
12;23;1;2011;176.25;1.2
13;23;1;2011;185.75;1.5
14;23;1;2011;184.25;1.4
15;23;1;2011;183.0;1.4
16;23;1;2011;185.25;0.2
17;23;1;2011;200.75;0.4
18;23;1;2011;206.25;0.6
19;23;1;2011;201.75;0.6
20;23;1;2011;190.0;-0.4
21;23;1;2011;184.0;-1.1
22;23;1;2011;168.5;-2.0
23;23;1;2011;167.5;-2.3
0;24;1;2011;169.0;-2.5
1;24;1;2011;164.5;-3.2
2;24;1;2011;163.25;-3.2
3;24;1;2011;163.5;-3.2
4;24;1;2011;163.5;-3.2
5;24;1;2011;176.25;-3.9
6;24;1;2011;238.25;-4.3
7;24;1;2011;290.25;-4.1
8;24;1;2011;368.0;-2.4
9;24;1;2011;428.0;-1.8
10;24;1;2011;448.75;-1.2
11;24;1;2011;450.0;-0.3
12;24;1;2011;461.5;1.1
13;24;1;2011;439.25;2.5
14;24;1;2011;418.25;1.8
15;24;1;2011;388.75;1.6
16;24;1;2011;356.5;0.4
17;24;1;2011;335.5;-1.1
18;24;1;2011;320.75;-2.1
19;24;1;2011;290.0;-2.3
20;24;1;2011;255.75;-2.8
21;24;1;2011;211.5;-2.1
22;24;1;2011;192.5;-1.9
23;24;1;2011;180.75;-1.8
0;25;1;2011;178.0;-2.1
1;25;1;2011;173.0;-3.6
2;25;1;2011;170.5;-4.6
3;25;1;2011;171.0;-5.1
4;25;1;2011;170.5;-5.6
5;25;1;2011;172.0;-5.1
6;25;1;2011;228.0;-3.0
7;25;1;2011;275.75;-3.0
8;25;1;2011;354.25;-2.2
9;25;1;2011;414.25;-1.8
10;25;1;2011;449.0;-1.2
11;25;1;2011;451.5;-0.2
12;25;1;2011;433.5;0.2
13;25;1;2011;421.75;0.8
14;25;1;2011;429.0;1.0
15;25;1;2011;406.5;0.9
16;25;1;2011;361.5;0.8
17;25;1;2011;338.5;0.5
18;25;1;2011;322.5;-0.3
19;25;1;2011;296.0;-0.4
20;25;1;2011;246.5;-0.7
21;25;1;2011;213.0;-1.0
22;25;1;2011;201.25;-0.4
23;25;1;2011;197.25;-0.3
0;26;1;2011;191.25;-0.4
1;26;1;2011;181.5;-0.7
