Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
1;3;5.9;0.36;182.151515152;NaN
0;3;3.2;0.3;403.912408759;365.569343066
0;3;5.1;0.23;390.8;355.933333333
0;3;8.7;0.23;431.05859375;360.151750973
0;3;15.9;0.17;391.6015625;356.26
0;3;16.8;0.22;395.326848249;355.0078125
1;3;16.5;0.27;197.682352941;197.25390625
1;3;14.7;0.42;195.19140625;202.57421875
0;3;17.3;0.53;418.9453125;374.59375
0;3;18.3;0.43;432.25;420.75
0;3;10.9;0.9;477.75;433.75
0;3;15.0;0.51;429.5;390.0
0;3;11.7;0.47;436.25;418.0
1;3;7.0;0.6;217.25;205.0
1;3;9.2;0.42;188.5;190.0
0;3;8.4;0.45;406.25;342.5
0;3;13.6;0.27;385.75;338.25
0;3;16.5;0.36;407.25;340.5
0;3;20.0;0.2;422.5;374.25
0;3;21.4;0.24;374.5;363.25
1;3;18.8;0.34;206.75;207.75
1;3;14.7;0.63;201.25;202.25
0;3;11.3;0.92;NaN;NaN
0;3;15.2;0.39;414.5;375.75
0;3;16.7;0.25;377.0;326.0
0;3;18.8;0.28;368.25;319.25
0;4;19.5;0.38;NaN;NaN
1;4;20.5;0.35;NaN;NaN
1;4;21.3;0.34;NaN;NaN
0;4;22.5;0.37;NaN;NaN
0;4;14.0;0.44;NaN;NaN
0;4;17.5;0.36;NaN;NaN
0;4;25.7;0.32;NaN;NaN
0;4;20.4;0.41;NaN;NaN
1;4;21.3;0.27;NaN;NaN
1;4;18.7;0.27;NaN;NaN
0;4;18.3;0.35;NaN;NaN
0;4;22.2;0.29;NaN;NaN
0;4;12.0;0.21;NaN;NaN
0;4;12.5;0.38;NaN;NaN
0;4;12.6;0.45;NaN;NaN
1;4;12.0;0.48;172.75;163.25
1;4;14.5;0.29;160.75;152.5
0;4;17.3;0.21;381.5;312.25
0;4;18.2;0.29;380.0;335.0
0;4;20.6;0.26;371.0;332.5
0;4;23.7;0.21;358.0;312.5
0;4;23.3;0.23;278.5;232.0
1;4;23.3;0.28;154.0;151.5
1;4;22.5;0.26;145.5;147.75
1;4;21.1;0.44;157.0;157.75
0;4;13.3;0.8;394.0;356.5
0;4;16.7;0.45;408.5;367.25
0;4;14.9;0.62;417.5;373.5
0;4;15.3;0.83;379.5;339.25
1;4;18.9;0.47;175.0;176.25
1;5;15.2;0.77;163.25;156.25
0;5;19.4;0.45;330.25;292.75
0;5;15.6;0.65;378.0;317.5
0;5;13.7;0.34;367.5;317.75
0;5;15.3;0.3;386.911111111;325.919413919
0;5;17.8;0.3;352.313953488;302.072033898
1;5;22.5;0.21;170.655737705;166.134693878
1;5;11.7;0.71;181.518672199;174.917073171
0;5;18.9;0.34;324.5;288.0
0;5;23.1;0.25;377.75;332.5
0;5;24.7;0.27;347.75;317.25
0;5;26.6;0.24;359.75;311.5
0;5;22.8;0.39;NaN;NaN
1;5;25.0;0.43;237.0;222.75
1;5;11.1;0.8;214.696682464;201.519047619
0;5;16.7;0.41;384.388127854;333.786069652
0;5;19.0;0.47;394.145299145;346.618025751
0;5;22.3;0.41;394.723577236;329.983471074
0;5;25.2;0.36;397.755102041;346.004065041
0;5;25.5;0.38;379.03125;322.785714286
1;5;17.4;0.89;211.469194313;192.620853081
1;5;25.7;0.42;169.952173913;164.799107143
0;5;24.1;0.49;476.127272727;369.395348837
0;5;26.9;0.3;457.556053812;379.592105263
0;5;24.7;0.38;430.0;372.25
0;5;26.4;0.27;435.008849558;370.398230088
0;5;29.7;0.3;526.431623932;438.309734513
1;5;15.8;0.68;206.692307692;172.399122807
1;5;22.3;0.34;192.88362069;175.132478632
0;5;24.4;0.35;456.848101266;365.622881356
0;5;27.7;0.36;526.0969163;453.812765957
