Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
0;3;14.7;0.41;333.75;315.25
0;3;17.5;0.31;312.75;307.25
1;3;16.3;0.4;199.5;205.5
1;3;13.2;0.72;194.25;193.75
0;3;10.3;0.93;NaN;NaN
0;3;10.7;0.81;297.25;252.25
0;3;12.6;0.51;282.0;260.25
0;3;14.2;0.55;279.75;264.75
0;4;18.1;0.43;NaN;NaN
1;4;15.9;0.6;NaN;NaN
1;4;18.4;0.4;NaN;NaN
0;4;15.6;0.69;NaN;NaN
0;4;12.5;0.55;NaN;NaN
0;4;14.0;0.7;NaN;NaN
0;4;21.8;0.49;NaN;NaN
0;4;18.3;0.48;NaN;NaN
1;4;17.6;0.33;NaN;NaN
1;4;14.7;0.51;NaN;NaN
0;4;15.8;0.4;NaN;NaN
0;4;10.9;0.82;NaN;NaN
0;4;9.7;0.37;NaN;NaN
0;4;10.6;0.46;NaN;NaN
0;4;10.9;0.49;NaN;NaN
1;4;11.5;0.45;163.75;167.25
1;4;12.5;0.38;151.5;156.0
0;4;12.2;0.48;252.25;238.0
0;4;14.2;0.53;301.5;268.0
0;4;16.3;0.52;291.0;245.25
0;4;21.6;0.2;280.25;261.75
0;4;18.0;0.5;184.0;173.5
1;4;20.8;0.36;151.25;152.5
1;4;20.7;0.3;152.75;151.0
1;4;18.2;0.59;159.5;160.75
0;4;14.0;0.67;312.25;291.0
0;4;15.6;0.59;320.0;287.5
0;4;14.5;0.61;324.5;290.75
0;4;13.5;0.89;287.5;243.25
1;4;16.9;0.72;175.5;185.25
1;5;13.2;0.81;157.25;161.5
0;5;16.4;0.73;249.5;215.25
0;5;12.7;0.73;274.75;264.25
0;5;11.9;0.37;264.5;225.75
0;5;13.5;0.35;284.802197802;231.626373626
0;5;16.2;0.31;264.07755102;236.357142857
1;5;19.6;0.24;162.049180328;161.407407407
1;5;9.6;0.73;167.209756098;167.234042553
0;5;17.7;0.41;254.0;220.75
0;5;19.7;0.41;277.5;218.5
0;5;20.7;0.45;255.0;229.0
0;5;22.4;0.36;250.75;233.0
0;5;21.4;0.45;NaN;NaN
1;5;24.5;0.37;227.75;219.75
1;5;11.1;0.85;205.523148148;213.796460177
0;5;15.6;0.51;296.175609756;266.180094787
0;5;17.6;0.59;310.888412017;288.942731278
0;5;20.8;0.48;289.966942149;264.042372881
0;5;22.0;0.54;289.619834711;278.479820628
0;5;24.4;0.46;268.533039648;216.103004292
1;5;18.2;0.73;187.259803922;179.942307692
1;5;20.6;0.71;168.623318386;173.389423077
0;5;19.9;0.77;331.171171171;280.230088496
0;5;24.7;0.4;331.547826087;291.057268722
0;5;22.3;0.44;320.0;270.75
0;5;24.3;0.27;320.612068966;259.308370044
0;5;27.2;0.35;389.225531915;293.276595745
1;5;15.0;0.82;167.145833333;168.755458515
1;5;21.0;0.34;165.948717949;162.886075949
0;5;24.3;0.36;315.49137931;267.725321888
0;5;23.2;0.66;380.787234043;301.939914163
