Praznik;Mjesec;Temperatura;Vlaga;PrijasnjaPotrosnja;Potrosnja
0;3;10.1;0.85;203.25;195.5
0;3;10.2;0.91;206.25;201.25
0;3;7.5;0.92;215.75;202.75
0;3;6.8;0.87;198.5;191.25
1;3;6.1;0.55;196.25;185.5
1;3;5.8;0.52;189.5;185.75
0;3;0.8;0.86;201.5;192.0
0;3;3.4;0.73;208.5;196.25
0;3;5.8;0.83;203.75;198.5
0;3;6.2;0.74;220.0;210.25
0;3;12.6;0.44;194.0;192.75
1;3;10.8;0.66;194.25;190.25
1;3;9.5;0.76;195.25;187.5
0;3;9.9;0.96;NaN;NaN
0;3;5.6;0.88;204.75;198.75
0;3;6.5;0.75;208.0;203.25
0;3;8.4;0.75;212.75;208.0
0;4;11.2;0.88;NaN;NaN
1;4;10.4;0.78;NaN;NaN
1;4;11.8;0.74;NaN;NaN
0;4;10.8;0.85;NaN;NaN
0;4;6.5;0.87;NaN;NaN
0;4;9.0;0.84;NaN;NaN
0;4;21.4;0.32;NaN;NaN
0;4;13.9;0.69;NaN;NaN
1;4;10.5;0.45;NaN;NaN
1;4;7.7;0.85;NaN;NaN
0;4;9.9;0.78;NaN;NaN
0;4;7.8;0.85;NaN;NaN
0;4;3.7;0.78;NaN;NaN
0;4;6.1;0.73;NaN;NaN
0;4;7.3;0.82;NaN;NaN
1;4;9.3;0.62;164.75;157.75
1;4;5.9;0.74;149.75;148.5
0;4;9.4;0.57;172.25;164.25
0;4;7.8;0.78;175.0;171.0
0;4;9.5;0.81;180.25;170.25
0;4;9.8;0.81;179.25;170.0
0;4;10.5;0.82;156.5;152.5
1;4;16.9;0.54;146.5;144.25
1;4;14.2;0.8;153.0;150.0
1;4;14.7;0.74;158.75;157.75
0;4;13.1;0.69;160.5;156.75
0;4;13.6;0.65;168.25;163.75
0;4;11.2;0.85;182.75;173.5
0;4;12.0;0.92;164.5;159.75
1;4;12.0;0.89;196.25;193.5
1;5;11.9;0.79;161.25;161.0
0;5;12.1;0.82;170.5;160.25
0;5;8.0;0.67;175.25;172.75
0;5;5.0;0.82;169.75;164.75
0;5;6.0;0.68;174.355311355;168.547794118
0;5;8.7;0.73;170.56846473;165.319148936
1;5;9.4;0.69;161.012244898;161.214285714
1;5;8.3;0.84;161.818181818;160.642857143
0;5;12.8;0.69;167.25;162.75
0;5;12.0;0.77;175.75;169.5
0;5;12.9;0.76;185.0;179.75
0;5;17.0;0.68;186.75;178.5
0;5;15.5;0.82;NaN;NaN
1;5;14.2;0.81;214.5;206.0
1;5;9.9;0.83;203.4;191.850202429
0;5;11.8;0.66;178.222772277;175.06
0;5;15.5;0.66;176.42173913;168.566371681
0;5;13.3;0.82;172.691666667;165.532520325
0;5;15.4;0.79;182.487394958;170.515418502
0;5;16.6;0.83;169.121621622;164.962962963
1;5;14.0;0.86;159.348039216;153.483870968
1;5;15.8;0.87;165.231182796;160.933014354
0;5;18.9;0.86;187.230769231;175.762790698
0;5;18.0;0.81;185.328947368;180.052863436
0;5;15.6;0.59;181.5;172.0
0;5;15.6;0.76;187.305676856;181.857777778
0;5;20.4;0.82;179.021551724;174.153508772
1;5;13.2;0.88;159.079831933;156.004347826
1;5;13.0;0.82;162.164556962;155.92173913
0;5;16.2;0.78;194.52173913;183.83982684
0;5;17.0;0.85;190.756302521;181.438818565
