Praznik;Mjesec;PrijasnjaPotrosnja;Potrosnja
0;11;172.5;166.292576419
0;11;230.71875;228.149321267
0;11;162.80349345;164.110619469
0;11;160.665178571;160.963636364
0;11;163.422222222;162.756637168
1;11;167.280487805;166.409937888
1;11;162.252212389;163.530434783
0;11;164.625550661;162.367256637
0;11;165.226950355;159.715277778
0;11;157.084821429;158.782608696
0;11;162.626666667;163.119469027
0;11;166.337962963;165.931506849
1;11;162.616438356;162.543778802
1;11;160.0;157.5
0;11;167.5;167.5
0;11;163.0;166.0
0;11;152.0;152.25
0;11;155.25;153.5
0;11;158.25;157.0
1;11;159.5;160.25
1;11;162.75;158.25
0;11;157.5;156.25
0;11;155.25;152.0
0;11;154.0;152.0
0;11;152.75;151.25
0;11;158.0;158.25
1;12;157.25;157.5
1;12;162.0;162.0
0;12;159.25;160.0
0;12;159.0;160.25
0;12;163.5;159.0
0;12;151.25;151.5
0;12;155.5;155.75
1;12;158.75;158.5
1;12;157.25;154.0
0;12;163.25;164.5
0;12;161.0;160.75
0;12;161.0;155.0
0;12;151.75;152.0
0;12;157.5;155.0
1;12;NaN;NaN
1;12;NaN;NaN
0;12;166.0;165.0
0;12;162.0;167.5
0;12;166.5;161.25
0;12;160.0;157.5
0;12;160.5;161.5
1;12;178.0;177.5
1;12;166.25;161.5
0;12;152.75;151.75
1;12;146.75;147.0
1;12;147.75;147.0
0;12;143.0;143.75
0;12;150.75;150.0
1;12;152.25;152.25
1;12;155.5;152.75
0;12;160.5;157.0
