Sat;DanUTjednu;Mjesec;Temperatura;Potrosnja
15;6;1;11.8;166.0
16;6;1;8.3;174.0
17;6;1;6.2;189.0
18;6;1;5.1;187.25
19;6;1;4.0;182.5
20;6;1;3.3;178.0
21;6;1;3.1;171.5
22;6;1;2.9;165.0
23;6;1;3.3;162.25
0;7;1;3.0;160.0
1;7;1;1.8;160.5
2;7;1;2.2;160.75
3;7;1;2.1;159.5
4;7;1;1.2;157.5
5;7;1;1.9;157.0
6;7;1;2.7;158.25
7;7;1;1.5;154.5
8;7;1;2.3;150.25
9;7;1;3.0;152.25
10;7;1;3.7;154.75
11;7;1;5.0;158.0
12;7;1;7.6;162.5
13;7;1;9.1;163.0
14;7;1;9.9;161.5
15;7;1;8.9;162.5
16;7;1;7.3;164.0
17;7;1;5.0;175.75
18;7;1;3.9;180.75
19;7;1;2.9;179.75
20;7;1;2.8;176.0
21;7;1;2.0;168.75
22;7;1;1.9;163.0
23;7;1;0.9;160.5
0;1;1;0.7;159.5
1;1;1;0.6;158.75
2;1;1;0.0;155.75
3;1;1;-0.2;155.0
4;1;1;-0.8;153.75
5;1;1;-1.3;157.75
6;1;1;-1.6;228.25
7;1;1;-1.2;291.5
8;1;1;-0.3;367.75
9;1;1;0.6;426.25
10;1;1;1.6;462.25
11;1;1;3.6;463.25
12;1;1;6.4;457.0
13;1;1;9.4;454.75
14;1;1;10.5;450.0
15;1;1;10.2;431.25
16;1;1;7.1;388.0
17;1;1;4.5;357.5
18;1;1;4.3;320.75
19;1;1;3.4;256.5
20;1;1;3.3;229.25
21;1;1;3.2;210.0
22;1;1;3.1;192.5
23;1;1;2.1;182.5
0;2;1;1.1;180.25
1;2;1;0.6;177.25
2;2;1;0.1;178.0
3;2;1;0.0;174.0
4;2;1;-0.8;171.25
5;2;1;-0.3;178.75
6;2;1;-1.1;244.5
7;2;1;-0.6;286.5
8;2;1;0.1;351.0
9;2;1;1.3;422.0
10;2;1;0.6;445.25
11;2;1;1.5;445.75
12;2;1;2.7;427.5
13;2;1;4.8;421.0
14;2;1;4.8;399.0
15;2;1;3.5;386.75
16;2;1;2.5;362.75
17;2;1;1.6;334.25
18;2;1;1.4;311.25
19;2;1;0.4;257.0
20;2;1;-0.6;232.25
21;2;1;-0.8;210.5
22;2;1;-0.8;191.25
23;2;1;-0.8;180.25
0;3;1;-0.8;178.75
1;3;1;-0.8;174.75
2;3;1;-1.3;173.0
3;3;1;-2.0;171.75
4;3;1;-1.2;168.5
5;3;1;-1.4;171.5
6;3;1;-2.2;237.0
7;3;1;-2.2;275.0
8;3;1;-2.0;354.0
9;3;1;-0.4;423.0
10;3;1;0.6;443.0
